track_id,genre,genre_name,mfcc_kurtosis1,mfcc_kurtosis2,mfcc_kurtosis3,mfcc_kurtosis4,mfcc_kurtosis5,mfcc_kurtosis6,mfcc_kurtosis7,mfcc_kurtosis8,mfcc_kurtosis9,mfcc_kurtosis10,mfcc_kurtosis11,mfcc_kurtosis12,mfcc_kurtosis13,mfcc_kurtosis14,mfcc_kurtosis15,mfcc_kurtosis16,mfcc_kurtosis17,mfcc_kurtosis18,mfcc_kurtosis19,mfcc_kurtosis20,mfcc_max1,mfcc_max2,mfcc_max3,mfcc_max4,mfcc_max5,mfcc_max6,mfcc_max7,mfcc_max8,mfcc_max9,mfcc_max10,mfcc_max11,mfcc_max12,mfcc_max13,mfcc_max14,mfcc_max15,mfcc_max16,mfcc_max17,mfcc_max18,mfcc_max19,mfcc_max20,mfcc_mean1,mfcc_mean2,mfcc_mean3,mfcc_mean4,mfcc_mean5,mfcc_mean6,mfcc_mean7,mfcc_mean8,mfcc_mean9,mfcc_mean10,mfcc_mean11,mfcc_mean12,mfcc_mean13,mfcc_mean14,mfcc_mean15,mfcc_mean16,mfcc_mean17,mfcc_mean18,mfcc_mean19,mfcc_mean20,mfcc_median1,mfcc_median2,mfcc_median3,mfcc_median4,mfcc_median5,mfcc_median6,mfcc_median7,mfcc_median8,mfcc_median9,mfcc_median10,mfcc_median11,mfcc_median12,mfcc_median13,mfcc_median14,mfcc_median15,mfcc_median16,mfcc_median17,mfcc_median18,mfcc_median19,mfcc_median20,mfcc_min1,mfcc_min2,mfcc_min3,mfcc_min4,mfcc_min5,mfcc_min6,mfcc_min7,mfcc_min8,mfcc_min9,mfcc_min10,mfcc_min11,mfcc_min12,mfcc_min13,mfcc_min14,mfcc_min15,mfcc_min16,mfcc_min17,mfcc_min18,mfcc_min19,mfcc_min20,mfcc_skew1,mfcc_skew2,mfcc_skew3,mfcc_skew4,mfcc_skew5,mfcc_skew6,mfcc_skew7,mfcc_skew8,mfcc_skew9,mfcc_skew10,mfcc_skew11,mfcc_skew12,mfcc_skew13,mfcc_skew14,mfcc_skew15,mfcc_skew16,mfcc_skew17,mfcc_skew18,mfcc_skew19,mfcc_skew20,mfcc_std1,mfcc_std2,mfcc_std3,mfcc_std4,mfcc_std5,mfcc_std6,mfcc_std7,mfcc_std8,mfcc_std9,mfcc_std10,mfcc_std11,mfcc_std12,mfcc_std13,mfcc_std14,mfcc_std15,mfcc_std16,mfcc_std17,mfcc_std18,mfcc_std19,mfcc_std20
10,10,Pop,5.0768928528,1.1618540287,2.0956509113,1.3727425337,-0.20357376337,-0.34535357356,-0.52913892269,0.56197351217,0.28135043383,-0.15067242086,-0.05122981593,-0.18919314444,0.024107569829,0.111374259,0.1784889847,-0.12427537143,-0.031860597432,-0.15439143777,0.10571635514,0.04398387298,20.196968079,235.19851685,60.412815094,78.466720581,52.209972382,58.236206055,21.597276688,42.955066681,27.950971603,36.474834442,24.780317307,36.499404907,17.194538116,27.241575241,22.876415253,28.581476212,26.515832901,22.581645966,21.727827072,24.471794128,-135.86482239,157.04008484,-53.45324707,17.198896408,6.8680348396,13.934344292,-11.749298096,8.3607110977,-5.1303811073,0.23384548724,-5.4212064743,1.6794785261,-6.218249321,1.8441945314,-4.0997042656,0.77994996309,-0.55957680941,-1.0183241367,-3.8075449467,-0.67953306437,-113.08547211,162.5778656,-59.372467041,18.395090103,5.1673269272,15.092708588,-12.179041862,9.0307035446,-4.4177541733,0.40225550532,-5.5116577148,1.4376564026,-5.8859434128,1.7852561474,-3.7124667168,0.4265833199,-0.34693962336,-0.93511301279,-3.773195982,-0.47025111318,-537.58709717,5.1514348343E-14,-130.03352356,-50.578659058,-45.113948822,-45.514446259,-44.849060059,-43.018733978,-44.329349518,-40.170555115,-33.503982544,-27.465820312,-35.827617645,-27.609230042,-31.050647736,-29.610868454,-24.419204712,-27.490346909,-31.339273453,-25.615373611,-2.1463570595,-0.94826948643,1.3301442862,-0.56173443794,0.19958940148,-0.32758060098,0.032935407013,-0.51767474413,-0.31873559952,-0.13936807215,0.11949572712,0.025612000376,-0.173758775,-0.047239884734,-0.25716266036,0.084409467876,0.0024715200998,0.046101033688,-0.04890691489,-0.083755165339,102.74355316,44.409843445,29.066904068,14.013118744,15.492753983,16.689489365,10.712612152,11.680213928,9.7227678299,11.369185448,8.2897338867,7.9851098061,7.0753998756,6.9726486206,7.071393013,7.2709589005,7.0510702133,6.9285907745,6.4304733276,6.186293602
237,4,Jazz,0.050285506994,1.4534828663,-0.065162450075,-0.053699668497,-0.92596310377,-0.69607263803,-0.27858257294,0.12308686972,0.022755295038,0.15260480344,0.71779167652,0.85085070133,1.0963901281,0.84059518576,0.46181109548,1.3357050419,0.81332135201,1.2495275736,3.5569937229,2.2163598537,42.234035492,250.00993347,69.171920776,86.656539917,60.12204361,60.100147247,39.510372162,39.223491669,34.112594604,46.137115479,31.614347458,30.519702911,30.103172302,38.587947845,35.665466309,40.572589874,46.367866516,31.143730164,38.971691132,44.218906403,-173.16122437,144.89120483,-49.671237946,18.371511459,10.983504295,10.724150658,0.65297055244,4.9707040787,-7.9326210022,-2.7035720348,-5.0384478569,-9.0057411194,-8.4532260895,-3.95814991,-4.9279584885,-3.4667992592,-0.46588140726,0.72826206684,-0.88216751814,-0.81815671921,-155.89051819,150.20593262,-54.322963715,17.700565338,9.7047510147,12.117063522,0.62635052204,5.630551815,-8.0866346359,-2.5277533531,-4.2515006065,-7.50664711,-7.8050570488,-3.5649256706,-4.7014875412,-3.1391937733,-0.11384905875,0.81187939644,-0.86028772593,-1.0263874531,-510.49136353,-2.930988785E-14,-123.78942108,-61.004924774,-48.093490601,-40.769767761,-50.887458801,-39.437175751,-40.389820099,-39.743309021,-43.576751709,-58.951511383,-50.161830902,-36.672157288,-41.649429321,-40.790863037,-37.386535645,-37.338977814,-40.181045532,-35.131282806,-0.72369974852,-0.96194499731,0.66104888916,-0.050174932927,0.06328997761,-0.22024783492,-0.11115383357,-0.35237777233,0.05928895995,-0.059928271919,-0.6209346652,-0.69086366892,-0.54096537828,-0.18879295886,-0.099750995636,-0.33204197884,-0.17943117023,0.015935152769,0.59298163652,0.56209212542,125.14966583,41.992298126,32.20029068,18.715883255,17.126821518,15.415882111,9.6582193375,9.7090988159,9.1385402679,9.2061262131,10.396289825,12.253342628,9.0796127319,7.9727435112,7.6508717537,7.5083370209,7.8514842987,7.9802012444,7.6413769722,7.6725687981
238,4,Jazz,0.15094174445,0.83630305529,0.51902395487,0.29959183931,-0.13458251953,-0.50056326389,-0.40946143866,0.0044460571371,-0.14321105182,0.50344830751,1.2158907652,0.34762558341,2.3044965267,2.2410562038,1.9042469263,0.99343264103,2.2819495201,1.6535052061,2.4004261494,3.4363777637,51.41235733,267.42315674,82.002807617,83.341773987,87.606498718,60.70740509,48.719772339,53.105976105,33.497432709,55.835533142,54.736343384,42.548194885,57.153152466,52.409603119,46.401351929,38.406909943,53.48746109,47.010448456,57.243782043,67.821891785,-221.15377808,161.49728394,-54.125556946,11.724462509,21.568653107,4.1910629272,5.4092059135,2.9718754292,-7.6493196487,1.2961351871,-3.5058424473,-8.3672809601,-3.6832830906,-2.0758867264,-4.344329834,-4.2507572174,-2.8422265053,-2.0170955658,-0.19972108305,2.9980015755,-205.52165222,171.32298279,-58.580699921,11.407135963,23.324111938,2.7210111618,6.8142886162,3.9875543118,-8.6390542984,2.1482682228,-4.5062413216,-8.2943153381,-4.0904169083,-2.3226034641,-4.6265573502,-3.5771098137,-3.3120141029,-2.1187441349,-1.0369813442,1.2163647413,-532.09106445,-3.4594831467,-155.07771301,-78.077308655,-33.601428986,-53.512786865,-42.505172729,-42.041999817,-47.169002533,-41.358398438,-39.315616608,-49.725933075,-48.062973022,-46.345321655,-40.487762451,-47.828235626,-37.604206085,-40.903270721,-42.51373291,-36.706981659,-0.46284121275,-1.0511949062,0.67156887054,-0.086594089866,-0.34461086988,0.2846827209,-0.34651130438,-0.23954936862,0.27233240008,-0.11768330634,0.6659733057,0.025770680979,0.65237730742,0.67789900303,0.56498253345,-0.12948131561,0.63699251413,0.4123005569,0.87737345695,1.2903909683,118.44467163,52.663738251,34.686943054,17.471252441,16.219161987,17.534540176,12.48747921,11.631539345,10.609377861,11.548301697,10.203614235,10.019124031,9.0464191437,9.4459810257,8.8003444672,8.6977090836,8.3989162445,8.7864151001,10.356650352,11.473571777
246,12,Rock,10.034221649,2.3459794521,0.3500046432,2.7052593231,2.1454708576,0.11801785231,-0.0033434280194,0.10967146605,0.27915766835,0.033951554447,0.13055405021,0.11062330753,0.46830484271,0.016787039116,-0.277063936,0.10571386665,0.020398013294,0.037253014743,-0.069817118347,0.098930202425,56.17855835,225.62159729,43.175506592,81.963485718,45.802116394,40.452548981,35.380958557,35.295837402,27.229110718,27.451231003,23.716608047,27.393281937,30.896459579,26.727485657,24.923046112,30.562934875,16.901531219,22.475522995,18.465456009,22.325567245,-49.526756287,134.98286438,-28.029098511,25.547615051,-15.975914955,7.9510383606,0.45762404799,8.931022644,-0.77623963356,6.372440815,0.22164919972,0.21160192788,-0.28928223252,1.0883272886,0.11505977809,6.3450164795,-4.2454886436,1.911572814,-6.5085530281,-0.95362299681,-29.197860718,138.08029175,-28.80966568,26.334619522,-17.695343018,8.4633893967,0.39990931749,9.1347198486,-1.051638484,6.4343962669,0.14071425796,0.39693322778,-0.68256294727,0.93897759914,2.842170943E-14,6.2969665527,-3.9187061787,1.8442001343,-6.7197890282,-0.85278445482,-522.7008667,2.7533531011E-14,-74.618835449,-35.030105591,-51.202770233,-29.956935883,-30.653512955,-17.370904922,-24.62767601,-20.532909393,-24.047412872,-27.112123489,-31.829891205,-20.433303833,-30.034971237,-24.098295212,-33.690769196,-17.294765472,-27.528118134,-21.660028458,-2.87763381,-0.92647570372,0.46759581566,-0.73757100105,1.132941246,-0.27802076936,0.02109981887,-0.11241562665,0.28973087668,-0.071062102914,0.005340735428,-0.14855571091,0.23786370456,0.11315149814,-0.048503726721,0.032474912703,-0.26317003369,0.00727418717,0.1744530946,0.0014500778634,92.288665771,33.395671844,17.626487732,11.449175835,11.366055489,9.0489969254,8.6402626038,6.8616752625,6.7040243149,6.2442440987,5.80296278,6.720184803,7.7719774246,6.7780056,7.8358006477,6.2356939316,6.7478394508,5.8552007675,6.1313457489,5.5187664032
253,12,Rock,5.8794045448,0.15548872948,-0.68610006571,-0.062248077244,0.64807027578,0.43303260207,0.26211369038,0.2640157342,0.11498633027,0.17581063509,-0.10420197248,-0.044390842319,-0.11538723856,0.66332149506,2.0242886543,1.8468202353,1.4826180935,2.2415003777,0.98578691483,0.48456054926,51.250972748,224.87062073,51.707077026,55.662212372,59.850654602,64.484046936,22.171165466,35.307666779,26.094097137,25.532905579,27.330192566,17.284992218,24.579223633,35.243732452,41.857913971,40.981426239,42.085166931,39.685539246,38.262138367,35.357746124,-102.97373199,136.29698181,-42.534759521,2.4548308849,1.1001926661,12.84705162,-7.1491479874,4.7171096802,-0.027026703581,-5.866209507,-4.8319344521,-8.9729042053,-6.3101973534,1.4429798126,-3.1000912189,-0.76040256023,-3.6312594414,-4.8335318565,-5.6439948082,-5.0066208839,-77.76763916,155.06214905,-48.578166962,1.5932182074,-0.016501989216,12.174405098,-6.654314518,4.3009228706,4.1744385726E-14,-5.5205926895,-5.4492049217,-8.7408180237,-6.5298089981,1.1860433817,-3.5140426159,-0.91411584616,-4.1137638092,-4.9662976265,-5.8171572685,-5.1157951355,-515.91375732,-4.6185277824E-14,-104.02651215,-39.753993988,-52.794883728,-23.825469971,-46.069664001,-32.180240631,-34.529415131,-41.373695374,-36.588962555,-40.094150543,-30.993326187,-24.083007812,-26.609239578,-25.318099976,-28.241439819,-36.850364685,-36.411266327,-33.813838959,-2.3822145462,-1.0104562044,0.51861214638,0.18592596054,0.56921648979,0.42366039753,-0.36508697271,-0.036436930299,-0.18683405221,-0.11720988154,0.20292615891,-0.22930535674,0.14246368408,0.26070427895,0.73535972834,0.60841727257,0.73593461514,0.70495909452,0.36084571481,0.19219383597,108.38311768,50.033641815,29.580654144,13.199680328,15.86815834,11.862800598,9.9278049469,9.0646514893,7.9054403305,8.3959407806,9.5815010071,7.9157104492,7.4487919807,7.3080444336,7.3930535316,6.8942475319,9.178191185,8.979139328,8.6227121353,8.2317333221
254,12,Rock,8.8685150146,4.1911802292,2.1796076298,1.5949333906,0.43341898918,0.84125852585,0.36702039838,0.42416459322,-0.21808728576,0.2373264879,-0.16389036179,-0.083296820521,0.053873296827,0.089068487287,-0.0077878409065,0.03659196198,-0.02244582586,0.20356413722,0.058724362403,0.27674198151,59.858078003,216.37232971,51.347614288,83.096847534,40.098621368,56.550857544,30.14132309,36.120960236,31.783002853,33.605316162,18.647066116,24.379905701,21.200265884,28.55809021,21.299947739,24.952476501,18.605155945,21.981225967,17.353502274,17.671251297,-68.930450439,149.29222107,-33.148891449,39.233882904,0.72334289551,22.190128326,1.3634074926,8.480304718,2.6193962097,6.27896595,-3.2346763611,2.0916576385,-0.59377706051,3.0427942276,-0.38211020827,4.2800350189,-0.32221287489,1.5499008894,-3.280411005,-2.5646777153,-48.950340271,151.00575256,-35.413478851,39.797027588,0.56904882193,22.597452164,0.54855674505,8.4216518402,2.067442894,6.0895700455,-3.2619357109,2.092133522,-0.4907027185,3.0567309856,-0.29995298386,4.2629084587,-0.12695731223,1.4348450899,-3.3442547321,-2.5522341728,-495.03997803,-1.5099033135E-14,-90.645828247,-18.341705322,-46.891002655,-8.009393692,-28.512674332,-16.324926376,-25.656568527,-18.507432938,-26.672275543,-19.544412613,-23.13435936,-18.825992584,-19.048563004,-16.704164505,-24.448368073,-17.444360733,-23.29142952,-23.598861694,-2.608948946,-1.3742269278,1.0481227636,-0.65479141474,0.054816477001,-0.43627458811,0.39578023553,0.060475956649,0.18807992339,0.14822055399,0.018625088036,0.00058217480546,-0.03641467914,-0.030437994748,-0.0027248638216,-0.00056058180053,-0.077747307718,0.082998394966,0.02157542482,0.0062224650756,90.046707153,34.742359161,17.39040947,12.269795418,10.531928062,7.6101088524,7.8568496704,6.1566267014,7.8954501152,6.0812115669,6.4071640968,6.1027913094,5.4916548729,5.770362854,5.588619709,5.3186087608,5.4599661827,5.0067973137,5.1586065292,4.9775428772
668,21,Hip-Hop,8.0733289719,5.172296524,0.33505249023,0.60262566805,0.72624963522,0.76140797138,0.57084041834,0.51585704088,0.070580735803,-0.067124836147,0.21172274649,0.10007338971,0.85660338402,-0.028406556696,0.28845930099,-0.038457788527,0.21378803253,0.16976438463,0.13764438033,1.0521934032,20.016237259,228.9588623,50.271720886,97.812911987,64.26322937,69.997215271,36.505062103,54.917076111,42.153682709,44.102748871,26.822639465,36.480209351,33.644580841,27.815576553,32.210258484,28.124834061,29.875219345,25.143547058,31.568834305,19.900596619,-130.01582336,143.96020508,-26.410373688,27.488491058,-14.118145943,19.619781494,-12.321089745,9.655248642,-5.6534042358,5.0151662827,-14.304411888,6.0378813744,-9.0379695892,-2.644974947,-2.119040966,-0.45825746655,-1.3973706961,-1.6858026981,-3.3588314056,-4.1248679161,-115.60025787,149.73852539,-27.611452103,26.173402786,-15.870955467,21.131111145,-11.613805771,10.878216743,-5.7297945023,4.7649440765,-13.870383263,6.1849207878,-9.3274698257,-2.8389830589,-1.6473071575,-0.054539576173,-1.5563188791,-1.7930849791,-3.336537838,-3.7091305256,-518.46820068,-31.93182373,-93.104705811,-23.17754364,-82.414390564,-47.435527802,-61.243167877,-47.046749115,-42.953010559,-32.161205292,-60.335212708,-35.70929718,-42.163845062,-36.628856659,-41.738395691,-35.119972229,-34.381687164,-35.334983826,-26.946947098,-49.72044754,-2.1962468624,-1.6050820351,0.38168397546,0.41397312284,0.38026747108,-0.6214774847,-0.37093567848,-0.40851140022,0.030835395679,0.10399828106,-0.25464972854,-0.18010291457,0.32825481892,0.12149583548,-0.33616048098,-0.14135783911,0.17733070254,-0.025274293497,0.17105089128,-0.50759810209,72.978569031,30.521375656,18.314165115,15.962774277,15.813485146,13.355570793,10.827758789,13.101553917,10.440205574,9.7533493042,9.8907747269,8.5907964706,8.2800178528,8.6510400772,8.0177907944,7.7134242058,7.747595787,7.1769547462,7.3488154411,7.1098685265
670,21,Hip-Hop,3.3678383827,1.7140396833,-0.59004694223,0.30671390891,0.38972488046,-0.14276215434,0.072554901242,0.079683847725,-0.30385735631,-0.11891919374,0.2135694921,-0.055021479726,-0.0077343708836,0.17084051669,0.59074473381,0.22122438252,0.55921292305,-0.066873602569,0.16887375712,0.67137295008,32.446914673,211.50227356,81.671852112,134.06990051,68.623809814,79.233901978,48.819988251,62.974933624,42.616641998,40.428466797,37.874320984,37.561290741,35.986660004,29.560024261,32.253967285,31.814268112,35.222232819,25.086820602,32.594409943,31.783626556,-183.11128235,125.75160217,1.2809587717,47.379459381,-4.3332834244,27.515102386,-5.6488375664,6.9727864265,-4.1328020096,0.46858802438,-10.697237968,1.3792710304,-5.5892696381,-4.7020778656,-2.4242415428,1.7861415148,-0.32518914342,-3.6065423489,-1.1475845575,-1.4167076349,-160.95491028,139.53543091,2.6899998188,47.207817078,-4.3550701141,28.552009583,-5.1810507774,6.3931179047,-4.2114329338,0.90980225801,-10.49170208,1.2184499502,-5.5804209709,-3.886578083,-2.5333726406,1.5573267937,-4.6185277824E-14,-2.5362036228,-0.23767858744,-0.80953246355,-503.29696655,-50.822093964,-78.291625977,-34.366832733,-68.173538208,-39.577636719,-58.660205841,-47.290149689,-42.184501648,-39.77173233,-64.481079102,-38.862968445,-44.29693985,-42.284763336,-37.164714813,-30.721641541,-29.426067352,-42.020160675,-38.282512665,-41.599277496,-1.7315665483,-1.4328117371,-0.17966212332,0.026079030707,0.096148103476,-0.22835084796,-0.056324016303,0.10979547352,0.1474840641,-0.13447079062,-0.11802423,-0.099949970841,0.099791623652,-0.37056604028,0.2229090482,0.03715216741,-0.22746749222,-0.45222002268,-0.22724050283,-0.10705883056,93.666015625,49.313419342,25.812383652,20.611133575,16.149827957,15.79224968,13.895422935,13.636760712,12.754117966,11.75684166,11.886612892,10.974843979,10.104732513,9.7145900726,8.4512872696,7.4746398926,6.9496731758,8.4464235306,9.5569086075,8.6386852264
672,21,Hip-Hop,7.1808824539,1.8657090664,-0.22784925997,0.12075363845,0.053739715368,0.80103069544,0.46258613467,0.15316058695,0.17979362607,0.12798427045,0.19276350737,0.12595282495,0.81076443195,0.5494557023,0.28704771399,0.37695381045,0.1917720139,0.30608141422,0.39160564542,0.53685104847,-1.1309270859,225.22213745,75.485122681,136.30221558,63.328845978,79.768363953,49.845809937,60.795497894,35.759727478,50.914363861,28.28354454,37.382369995,39.387481689,38.977081299,26.299936295,30.230844498,30.48188591,24.20176506,37.874633789,29.394435883,-178.18385315,144.31013489,5.6012363434,47.736946106,2.04641819,26.264343262,-2.6270229816,6.5036950111,-4.5441884995,10.227884293,-6.3018121719,2.9740309715,-3.0365560055,-1.9813611507,-0.91474330425,0.087981693447,-1.0352125168,-1.3722043037,1.6338517666,0.67357254028,-172.01473999,150.52386475,6.2830033302,44.82390213,3.3034074306,28.086938858,-1.9282536507,6.7240414619,-3.9567856789,10.602024078,-5.4997553825,3.1832773685,-3.3920304775,-1.7361619473,-0.57734000683,1.0125233985E-13,-0.90954601765,-1.1795791388,1.3649321795,0.68380355835,-510.52130127,-4.8849813084E-14,-78.528839111,-26.462743759,-68.120880127,-40.678009033,-59.83555603,-38.94291687,-51.425098419,-36.479621887,-54.263648987,-33.073329926,-39.465831757,-43.458740234,-36.564529419,-28.520828247,-29.479738235,-34.655967712,-26.585832596,-30.276470184,-1.7915641069,-1.0977069139,-0.16139727831,0.48000875115,-0.36452978849,-0.59862112999,-0.30268362164,-0.07609590888,-0.24748265743,-0.14644658566,-0.34741288424,-0.19900996983,0.40574380755,-0.018047221005,-0.19837017357,0.093361020088,0.017182182521,-0.039170917124,0.10661605,-0.16343066096,66.230621338,38.250892639,24.779808044,24.741319656,17.777013779,15.552963257,12.234625816,12.720911026,11.164676666,11.114029884,11.713489532,9.440038681,9.9385623932,9.484205246,7.9102172852,7.5385365486,7.7711901665,7.1074800491,7.3063492775,7.0940051079
674,21,Hip-Hop,11.259552002,0.12999631464,-0.22157250345,0.39065912366,0.77587771416,0.12769553065,1.1001113653,0.098831407726,-0.12352336198,-0.034592784941,0.26229685545,0.08855574578,0.046351209283,0.39021137357,0.08515740186,0.17124074697,0.36481696367,0.13257350028,0.29208076,0.73659676313,-3.724565506,224.46235657,95.15221405,123.03284454,72.896705627,69.489265442,48.535793304,71.091941833,25.816680908,39.048557281,25.409284592,44.855052948,33.18762207,35.05721283,30.149475098,40.415912628,32.462841034,34.404983521,38.513183594,35.752319336,-124.08755493,113.9214859,-12.445985794,42.887500763,-9.0201425552,24.299562454,-15.94314003,13.477127075,-14.817998886,12.421822548,-11.2603302,6.9162764549,-7.6383767128,3.8640491962,-6.5287947655,3.9652006626,-6.4992928505,2.9485301971,-3.7070057392,-1.0419808626,-105.47903442,111.64704895,-10.45904541,43.553993225,-9.2609987259,26.95126152,-16.67816925,14.900009155,-15.828607559,13.525362015,-11.254475594,7.4188051224,-8.557890892,4.4945850372,-7.0891757011,4.4197845459,-6.9355945587,2.8841607571,-3.9425759315,-0.76956576109,-531.92224121,-24.137254715,-96.533348083,-34.434638977,-62.140865326,-53.231502533,-63.918575287,-51.412982941,-51.633220673,-30.040193558,-53.376972198,-37.689968109,-39.262104034,-32.64622879,-36.726867676,-36.495845795,-37.638656616,-30.741603851,-29.461803436,-43.887908936,-2.9767174721,-0.15943104029,-0.098591074347,-0.27097156644,0.26997670531,-0.6025878191,0.51258409023,-0.41726651788,0.27208536863,-0.46996968985,-0.0014564965386,-0.24552822113,0.38079687953,-0.37500846386,0.28053188324,-0.26247897744,0.30515131354,-0.057736668736,0.28776961565,-0.1538297981,83.081497192,41.310173035,27.117368698,18.123075485,13.986934662,15.671826363,13.264460564,15.32051754,11.780913353,10.256048203,9.6988706589,9.28723526,9.6633367538,8.8835077286,8.4189882278,8.7761278152,8.206240654,7.9916386604,7.741039753,7.6484298706
