mfcc1, mfcc2, mfcc3, mfcc4, mfcc5, mfcc6, mfcc7, mfcc8, mfcc9, mfcc10, mfcc11, mfcc12,,,,,,,,,,,,,,
-1750,-1.937191E-05,-1.6274469E-05,2.7368342E-06,-3.0150146E-05,4.3127043E-06,1.5229368E-05,3.7017205E-06,-1.0286137E-05,1.6036468E-06,1.8518942E-05,-4.748716E-06,,,,,,,,,,,,,,
-182.7858,-23.182535,7.302227,-9.597457,3.5566156,-6.903723,4.4053965,-4.540596,2.8173203,-2.1415267,-0.39307866,-1.5023988,,,,,,,,,,,,,,
-182.76613,-25.95091,6.9794216,-8.301962,5.159523,-5.9789553,4.2798605,-4.2084465,3.1400166,-5.5513434,0.60144645,-1.9593612,,,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12
-184.44003,-24.971497,7.4666247,-9.625828,3.8696504,-6.6286287,4.319684,-5.1698246,2.5591938,-3.3388627,2.6670225,-1.9516313,,Mean,60.5856744659583,20.4796833774818,8.79061709710918,-5.55435232557515,5.57855336371495,-4.18034004180649,5.42506278312784,-4.38049726289642,5.73054938793266,-4.80100102225109,4.52849632196059,-4.58566612671974
-181.79967,-23.362621,7.500966,-7.2668633,6.342479,-5.758554,5.4691095,-5.4323983,3.0714781,-3.3550792,3.47551,-0.58232075,,Standard Error,0.716096238205754,0.120729879165279,0.039726575690903,0.028133481406748,0.026362491003527,0.023777466765416,0.024003407896466,0.022994259368473,0.023814537337555,0.022241597168305,0.023219607325698,0.021487699042093
-184.25409,-24.388678,6.9110475,-6.229978,2.6076198,-5.3138895,5.2952094,-4.956159,4.0607123,-3.17203,1.5684893,-1.1929356,,Mode,66.5103,21.943218,#VALUE!,#VALUE!,5.9715223,-3.5973349,4.5717754,-5.1882095,3.398612,#VALUE!,4.874042,-4.713086
-182.61002,-23.89365,8.324546,-8.162554,3.3885794,-5.0304,7.2127905,-2.8087199,4.5738354,-2.6212306,3.0317993,-2.657463,,Median,69.833245,21.852397,8.7943015,-5.58699035,5.55758075,-4.1898905,5.4175668,-4.31670545,5.7232099,-4.74189585,4.59613125,-4.5326327
-187.9859,-26.074543,7.4500527,-7.566079,3.1359894,-7.0186734,4.801533,-5.5199647,4.8283243,-3.6111963,1.5382226,-1.7161273,,First Quartile,56.27294125,18.06744925,6.92586225,-6.9717545,4.269598875,-5.330731,4.29204705,-5.501663475,4.5986952,-5.84957015,3.478202425,-5.57964775
-112.396935,12.462933,16.432669,-9.897192,3.2123728,-6.078511,6.7987003,-5.3869276,3.8283937,-3.3762488,5.9141088,-1.5711209,,Third Quartile,81.91602875,25.279288,10.73461275,-4.158785325,6.848311225,-3.030438375,6.58126825,-3.233486625,6.9236356,-3.6592036,5.637930625,-3.5261094
-90.67419,6.2950683,10.696087,-4.8326917,4.4816995,-3.3979175,4.801361,-5.910786,3.6659067,-5.107191,3.9434159,-3.9233282,,Variance,2825.4939612721,80.3121275151789,8.69588649684914,4.36112519611168,3.82934493482987,3.11517727105019,3.17466138444921,2.91333516111425,3.12489835919592,2.72573443173023,2.97071740562139,2.54408386778086
-77.504395,7.4125886,10.391,-1.286433,5.3134837,-3.5460029,4.643492,-2.4027603,5.559295,-2.92476,3.7168589,-4.228159,,Standard Deviation,53.1553756573322,8.9617033824591,2.94887885421717,2.08833072000382,1.95687121058844,1.76498647899926,1.78175794777215,1.70684948402437,1.76773820437188,1.65097983989213,1.72357692187537,1.59501845374305
-38.62851,13.714851,10.764962,-2.8004458,0.9748661,-8.057583,1.0926772,-4.6616774,5.093741,-3.05977,4.6978183,-3.6371443,,Kurtosis,255.081923254375,15.0772663437333,0.383539821763069,0.101708579516496,0.127523282985727,0.399217631678951,0.480764925519831,0.175349501870282,0.304924131712056,0.094047535529755,0.797034576880689,0.864803512597785
54.789276,18.807587,8.263627,-5.478695,2.6122353,-3.1708753,5.8648696,-5.078912,6.025233,-3.4962351,5.838003,-4.3529034,,Skewness,-10.0537558814923,-3.3775341435628,-0.061322641766171,0.009303680132217,0.075799698383892,0.020314757371208,-0.109276689741071,-0.178790318979825,-0.093055280916409,-0.219281455494594,-0.226889207516265,-0.366226525729396
75.29589,22.463352,6.6489787,-8.6744175,3.939224,-2.602833,8.10717,-5.547148,6.0043855,-1.933481,6.499754,-7.3212214,,Range,1866.96381,64.287626,25.035451,17.0071233,14.7871312,14.6451057,14.7540126,13.3666763,14.31026,12.798075,15.1267524,13.11763077
71.68405,24.638014,6.1434937,-9.596919,5.6998215,-0.0983879,9.764715,-6.1883583,5.275062,-0.8187191,6.9958687,-5.170692,,Minimum,-1750,-29.224316,-4.376958,-14.5837,-1.4804902,-11.274737,-2.8221886,-11.716592,-1.954568,-11.859091,-4.0174384,-12.671824
68.98594,23.922142,6.8807273,-10.419963,5.9863443,-0.23224388,10.579261,-5.119385,6.600466,-1.987163,7.41077,-5.7126646,,Maximum,116.96381,35.06331,20.658493,2.4234233,13.306641,3.3703687,11.931824,1.6500843,12.355692,0.938984,11.109314,0.44580677
75.79569,15.597488,7.0142193,-6.83996,5.6218705,-0.44792452,8.03482,-2.930397,5.6636643,-3.0481527,6.064954,-3.7859223,,Sum,333827.06630743,112843.055409924,48436.3002050715,-30604.4813139192,30737.8290340693,-23033.6736303538,29892.0959350344,-24136.5399185593,31575.3271275089,-26453.5156326034,24952.014734003,-25267.0203582257
65.47213,14.439873,10.40272,-3.484789,7.3065543,-0.7591815,6.8753057,-4.8467393,3.95976,-2.7853103,5.951992,-4.6901107,,Count,5510,5510,5510,5510,5510,5510,5510,5510,5510,5510,5510,5510
62.33726,12.038002,11.04923,-2.1841674,6.616848,-0.38914108,8.2155,-2.3091679,4.3403926,-3.985161,5.8737464,-2.9541204,,,,,,,,,,,,,,
63.579525,8.881261,10.022836,-1.8311965,7.156487,-0.18479575,8.082558,-1.6403681,5.5022345,-2.8575604,5.598294,-3.6260915,,,,,,,,,,,,,,
41.074013,11.619217,9.382109,-4.0099497,5.9732347,-1.9860897,6.4182634,-2.9875472,6.171808,-1.4880601,7.9323597,-2.491873,,,,,,,,,,,,,,
45.335766,12.906922,11.830454,-2.0105546,6.0629177,-1.7291365,7.8336535,-1.5406117,6.444375,-2.4629405,5.988745,-2.9798985,,,,,,,,,,,,,,
