track_id,album_title,track_bit_rate,track_duration,track_explicit,genre,track_interest,track_listens,track_number,track_title,track_url
57153,Bonus Beat Blast 2011,213886,01:20,Radio-Safe,15,76638,56361,9,Whispering Through,http://freemusicarchive.org/music/Asura/Bonus_Beat_Blast_2011/09_asura-whispering_through
10,Constant Hitmaker,192000,02:41,Radio-Safe,10,54881,50135,1,Freeway,http://freemusicarchive.org/music/Kurt_Vile/Constant_Hitmaker/Freeway
133764,Chapter Two / Mild,320000,02:08,Radio-Safe,5,73905,58397,3,Brooks,http://freemusicarchive.org/music/Kai_Engel/Chapter_Two__Mild/Kai_Engel_-_Chapter_Two_-_Mild_-_03_Brooks_1014
18856,She Hate Me,192000,02:00,Radio-Safe,21,122457,61920,23,Emo Step Show,http://freemusicarchive.org/music/The_Custodian_of_Records/She_Hate_Me/Emo_Step_Show
57089,Bonus Beat Blast 2011,221114,02:02,Radio-Safe,15,75646,54850,72,Steppin,http://freemusicarchive.org/music/Wake/Bonus_Beat_Blast_2011/72_wake-steppin
57151,Bonus Beat Blast 2011,212809,01:47,Radio-Safe,15,72097,28389,11,Dial My Number,http://freemusicarchive.org/music/Benedek/Bonus_Beat_Blast_2011/11_benedek-dial_my_number
133763,Chapter Two / Mild,320000,04:31,Radio-Safe,3,55587,46592,9,Something (Bonus Track),http://freemusicarchive.org/music/Kai_Engel/Chapter_Two__Mild/Kai_Engel_-_Chapter_Two_-_Mild_-_09_Something_Bonus_Track
4994,Dark Falcon,256000,04:38,Radio-Safe,15,39727,33669,20,Mercy,http://freemusicarchive.org/music/Lucky_Dragons/Dark_Falcon/Mercy
145524,Better Way,320000,01:55,Radio-Safe,5,28536,21457,3,Realness,http://freemusicarchive.org/music/Kai_Engel/Better_Way/Kai_Engel_-_Better_Way_-_03_Realness
133773,Through The Lens,320000,03:16,Radio-Safe,17,47827,33914,7,A Human Being,http://freemusicarchive.org/music/Andy_G_Cohen/Through_The_Lens/Andy_G_Cohen_-_A_Human_Being
133760,Chapter Two / Mild,320000,03:17,Radio-Safe,5,56290,46099,6,Daylight (PON II),http://freemusicarchive.org/music/Kai_Engel/Chapter_Two__Mild/Kai_Engel_-_Chapter_Two_-_Mild_-_06_Daylight_PON_II
136366,ICD-10,320000,02:46,Radio-Safe,3,50935,42135,2,Anxiety,http://freemusicarchive.org/music/Kai_Engel/ICD-10/Kai_Engel_-_ICD-10_-_02_Anxiety_1425
57118,Bonus Beat Blast 2011,248122,01:29,Radio-Safe,15,105198,37243,45,Nuff Stickers,http://freemusicarchive.org/music/Kidkanevil__DZA/Bonus_Beat_Blast_2011/45_kidkanevil_and_dza-nuff_stickers
57149,Bonus Beat Blast 2011,231417,01:52,Radio-Safe,15,24850,14437,13,Calabash,http://freemusicarchive.org/music/Cofee/Bonus_Beat_Blast_2011/13_co_fee-calabash
57157,Bonus Beat Blast 2011,211915,01:59,Radio-Safe,15,31592,21207,5,Embers and Ashes,http://freemusicarchive.org/music/Anenon/Bonus_Beat_Blast_2011/05_anenon-embers_and_ashes
133759,Chapter Two / Mild,320000,02:26,Radio-Safe,5,39680,32757,5,April,http://freemusicarchive.org/music/Kai_Engel/Chapter_Two__Mild/Kai_Engel_-_Chapter_Two_-_Mild_-_05_April
10697,2005 Stayin Alive InstruMentals,192000,03:55,Radio-Safe,21,28160,16523,0,1.26 beat1,http://freemusicarchive.org/music/BOPD/2005_Stayin_Alive_InstruMentals/126_beat1
